day,daypart,P_go,P_cond,P_nogo,decision,confidence,gate_hs_go,gate_wind_go
D+1,dawn,0.8333333333333334,0.09999999999999998,0.0,GO,0.36000000000000004,1.0,20.0
D+1,morning,0.8666666666666667,0.033333333333333326,0.0,GO,0.36000000000000004,1.0,20.0
D+1,afternoon,0.9666666666666667,0.0,0.0,GO,0.36000000000000004,1.0,20.0
D+1,evening,0.8333333333333334,0.0,0.033333333333333326,GO,0.36000000000000004,1.0,20.0
D+2,dawn,0.8666666666666667,0.06666666666666665,0.0,GO,0.32000000000000006,1.0,20.0
D+2,morning,0.8333333333333334,0.033333333333333326,0.0,GO,0.32000000000000006,1.0,20.0
D+2,afternoon,0.8666666666666667,0.06666666666666665,0.0,GO,0.32000000000000006,1.0,20.0
D+2,evening,0.8333333333333334,0.033333333333333326,0.0,GO,0.32000000000000006,1.0,20.0
D+3,dawn,0.8666666666666667,0.0,0.033333333333333326,GO,0.27999999999999997,1.0,20.0
D+3,morning,0.9,0.033333333333333326,0.0,GO,0.27999999999999997,1.0,20.0
D+3,afternoon,0.9,0.0,0.033333333333333326,GO,0.27999999999999997,1.0,20.0
D+3,evening,0.9,0.033333333333333326,0.0,GO,0.27999999999999997,1.0,20.0
D+4,dawn,0.8666666666666667,0.033333333333333326,0.0,GO,0.24,1.1,19.0
D+4,morning,0.9333333333333333,0.0,0.0,GO,0.24,1.1,19.0
D+4,afternoon,0.9,0.0,0.0,GO,0.24,1.1,19.0
D+4,evening,0.8666666666666667,0.033333333333333326,0.0,GO,0.24,1.1,19.0
D+5,dawn,0.9,0.0,0.0,GO,0.2,1.1,19.0
D+5,morning,0.9333333333333333,0.0,0.0,GO,0.2,1.1,19.0
D+5,afternoon,0.9,0.0,0.0,GO,0.2,1.1,19.0
D+5,evening,0.8666666666666667,0.0,0.0,GO,0.2,1.1,19.0
D+6,dawn,0.9666666666666667,0.0,0.0,GO,0.2,1.2,18.0
D+6,morning,0.8333333333333334,0.0,0.0,GO,0.2,1.2,18.0
D+6,afternoon,0.8666666666666667,0.033333333333333326,0.0,GO,0.2,1.2,18.0
D+6,evening,0.8666666666666667,0.06666666666666665,0.0,GO,0.2,1.2,18.0
D+7,dawn,0.9,0.033333333333333326,0.0,GO,0.2,1.2,18.0
D+7,morning,0.7,0.033333333333333326,0.0,GO,0.2,1.2,18.0
D+7,afternoon,0.6666666666666666,0.09999999999999998,0.0,GO,0.2,1.2,18.0
D+7,evening,0.8333333333333334,0.06666666666666665,0.0,GO,0.2,1.2,18.0
