timestamp,decision,reasoning
2025-10-06T20:19:24.975105,GO,풍속 및 파고 조건 양호
2025-10-06T21:19:24.975105,GO,풍속 및 파고 조건 양호
2025-10-06T22:19:24.975105,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-06T23:19:24.975105,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T00:19:24.975105,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T01:19:24.975105,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T02:19:24.975105,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T03:19:24.975105,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T04:19:24.975105,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T05:19:24.975105,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T06:19:24.975105,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T07:19:24.975105,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T08:19:24.975105,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T09:19:24.975105,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T10:19:24.975105,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T11:19:24.975105,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T12:19:24.975105,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T13:19:24.975105,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T14:19:24.975105,GO,풍속 및 파고 조건 양호
2025-10-07T15:19:24.975105,GO,풍속 및 파고 조건 양호
2025-10-07T16:19:24.975105,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T17:19:24.975105,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T18:19:24.975105,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T19:19:24.975105,NO-GO,풍속 또는 파고 조건 불량
